POS_tagged_sentence,Logical_expression,Natural_sentence,Manchester_syntax
frutti/NN di/FW mare/NN typically/RB lack/VB cheese/NN ./. <EOS>/<EOS>,frutti di mare := E lack . ( cheese ) <EOS>,frutti di mare typically lack cheese.,frutti di mare EquivalentTo some lack cheese
a/DT non-mineralized/JJ hyaline/NN cartilage/NN tissue/NN is/VBZ a/DT hyaline/NN cartilage/NN tissue/NN that/WDT is/VBZ not/RB mineralized/VBN ./. <EOS>/<EOS>,non-mineralized hyaline cartilage tissue := hyaline cartilage tissue ^ ! mineralized <EOS>,a non-mineralized hyaline cartilage tissue is a hyaline cartilage tissue that is not mineralized.,nonmineralized hyaline cartilage tissue EquivalentTo hyaline cartilage tissue and mineralized
a/DT meaty/JJ pizza/NN is/VBZ any/DT pizza/NN that/WDT have/VB at/IN least/JJS NUM/CD topping/VBG of/IN meat/NN ./. <EOS>/<EOS>,meaty pizza := pizza ^ >= NUM have topping . ( meat ) <EOS>,a meaty pizza is any pizza that have at least NUM topping of meat.,meaty pizza EquivalentTo pizza and NUM have topping meat
a/DT property/NN is/VBZ a/DT observable/JJ quality/NN of/IN a/DT event/NN or/CC object/NN ./. <EOS>/<EOS>,property := observable quality of event U observable quality of object <EOS>,a property is a observable quality of a event or object.,property EquivalentTo observable quality of event or observable quality of object
herbivore/NN are/VBP exactly/RB those/DT animal/NN that/WDT eat/VBP only/RB plant/NN or/CC part/NN of/IN plant/NN ./. <EOS>/<EOS>,herbivore := animal ^ A eat . ( plant U E part of . ( plant ) ) <EOS>,herbivore are exactly those animal that eat only plant or part of plant.,herbivore EquivalentTo animal and some eat plant or some part of plant
a/DT gonochoristic/JJ organism/NN is/VBZ a/DT multi-cellular/JJ organism/NN that/WDT have/VB male/JJ and/CC female/JJ sex/NN ./. <EOS>/<EOS>,gonochoristic organism := multi-cellular organism ^ E have sex . ( male sex ) ^ E have sex . ( female sex ) <EOS>,a gonochoristic organism is a multi-cellular organism that have male and female sex.,gonochoristic organism EquivalentTo multicellular organism and some have sex male sex and some have sex female sex
carnivore/NN are/VBP exactly/RB those/DT animal/NN that/WDT eat/VBP also/RB animal/NN ./. <EOS>/<EOS>,carnivore := animal ^ E eat . ( animal ) <EOS>,carnivore are exactly those animal that eat also animal.,carnivore EquivalentTo animal and some eat animal
a/DT american/JJ hot/JJ pizza/NN is/VBZ a/DT type/NN of/IN american/JJ pizza/NN that/WDT have/VB jalapeno/JJ pepper/NN on/IN it/PRP ./. <EOS>/<EOS>,american hot pizza := american pizza ^ E have on . ( jalapeno pepper ) <EOS>,a american hot pizza is a type of american pizza that have jalapeno pepper on it.,american hot pizza EquivalentTo american pizza and some have on jalapeno pepper
a/DT output/NN is/VBZ any/DT information/NN that/WDT is/VBZ reported/VBN from/IN a/DT process/NN ./. <EOS>/<EOS>,output := information ^ E reported from . ( process ) <EOS>,a output is any information that is reported from a process.,output EquivalentTo information and some reported from process
a/DT cell/NN space/NN is/VBZ a/DT anatomical/JJ space/NN that/WDT is/VBZ part/NN of/IN a/DT cell/NN ./. <EOS>/<EOS>,cell space := anatomical space ^ E part of . ( cell ) <EOS>,a cell space is a anatomical space that is part of a cell.,cell space EquivalentTo anatomical space and some part of cell
a/DT male/JJ organism/NN is/VBZ a/DT gonochoristic/JJ organism/NN that/WDT can/MD produce/VB male/JJ gamete/NN ./. <EOS>/<EOS>,male organism := gonochoristic organism ^ >= 0 produce . ( male gamete ) <EOS>,a male organism is a gonochoristic organism that can produce male gamete.,male organism EquivalentTo gonochoristic organism and 0 produce male gamete
"giraffe/NN are/VBP herbivore/NN ,/, and/CC they/PRP eat/VBP only/RB leaf/NN ./. <EOS>/<EOS>",giraffe := herbivore ^ A eat . ( leaf ) <EOS>,"giraffe are herbivore , and they eat only leaf.",giraffe EquivalentTo herbivore and some eat leaf
"a/DT american/JJ pizza/NN is/VBZ a/DT pizza/NN that/WDT have/VB topping/NN of/IN pepperoni/NN ,/, mozzarella/NN and/CC tomato/NN ./. <EOS>/<EOS>",american pizza := pizza ^ E have topping . ( pepperoni ) ^ E have topping . ( mozzarella ) ^ E have topping . ( tomato ) <EOS>,"a american pizza is a pizza that have topping of pepperoni , mozzarella and tomato.",american pizza EquivalentTo pizza and some have topping pepperoni and some have topping mozzarella and some have topping tomato
a/DT sensor/NN is/VBZ any/DT entity/NN that/WDT can/MD follow/VB a/DT sensing/VBG method/NN ./. <EOS>/<EOS>,sensor := any entity ^ >= 0 follow . ( sensing method ) <EOS>,a sensor is any entity that can follow a sensing method.,sensor EquivalentTo any entity and 0 follow sensing method
anal/JJ fin/NN lepidotrichium/NN is/VBZ a/DT lepidotrichium/NN that/WDT is/VBZ part/NN of/IN the/DT anal/JJ fin/NN skeleton/NN ./. <EOS>/<EOS>,anal fin lepidotrichium := lepidotrichium ^ E part of . ( anal fin skeleton ) <EOS>,anal fin lepidotrichium is a lepidotrichium that is part of the anal fin skeleton.,anal fin lepidotrichium EquivalentTo lepidotrichium and some part of anal fin skeleton
caudal/JJ fin/NN lepidotrichium/NN is/VBZ a/DT lepidotrichium/NN that/WDT is/VBZ part/NN of/IN the/DT caudal/JJ fin/NN skeleton/NN ./. <EOS>/<EOS>,caudal fin lepidotrichium := lepidotrichium ^ E part of . ( caudal fin skeleton ) <EOS>,caudal fin lepidotrichium is a lepidotrichium that is part of the caudal fin skeleton.,caudal fin lepidotrichium EquivalentTo lepidotrichium and some part of caudal fin skeleton
axial/JJ ossicle/NN is/VBZ a/DT ossicle/NN that/WDT is/VBZ part/NN of/IN the/DT axial/JJ skeleton/NN ./. <EOS>/<EOS>,axial ossicle := ossicle ^ E part of . ( axial skeleton ) <EOS>,axial ossicle is a ossicle that is part of the axial skeleton.,axial ossicle EquivalentTo ossicle and some part of axial skeleton
craniofacial/JJ skeleton/NN is/VBZ a/DT cranial/JJ skeleton/NN derived/VBN from/IN neural/JJ crest/NN cell/NN ./. <EOS>/<EOS>,craniofacial skeleton := cranial skeleton ^ E derived from . ( neural crest cell ) <EOS>,craniofacial skeleton is a cranial skeleton derived from neural crest cell.,craniofacial skeleton EquivalentTo cranial skeleton and some derived from neural crest cell
branch/NN are/VBP part/NN of/IN tree/NN ./. <EOS>/<EOS>,branch := E part of . ( tree ) <EOS>,branch are part of tree.,branch EquivalentTo some part of tree
leaf/NN are/VBP part/NN of/IN branch/NN ./. <EOS>/<EOS>,leaf := E part of . ( branch ) <EOS>,leaf are part of branch.,leaf EquivalentTo some part of branch
pectoral/JJ fin/NN is/VBZ a/DT paired/JJ fin/NN that/WDT is/VBZ located/JJ in/IN the/DT thoracic/JJ region/NN of/IN the/DT body/NN ./. <EOS>/<EOS>,pectoral fin := paired fin ^ E located in . ( thoracic region of body ) <EOS>,pectoral fin is a paired fin that is located in the thoracic region of the body.,pectoral fin EquivalentTo paired fin and some located in thoracic region of body
intramembranous/JJ ossification/NN is/VBZ a/DT direct/JJ ossification/NN that/WDT occur/VB within/IN mesenchyme/NN or/CC a/DT accumulation/NN of/IN relatively/RB unspecialized/JJ cell/NN ./. <EOS>/<EOS>,intramembranous ossification := direct ossification ^ E occur within . ( mesenchyme U accumulation of relatively unspecialized cell ) <EOS>,intramembranous ossification is a direct ossification that occur within mesenchyme or a accumulation of relatively unspecialized cell.,intramembranous ossification EquivalentTo direct ossification and some occur within mesenchyme or accumulation of relatively unspecialized cell
a/DT spicy/JJ pizza/NN is/VBZ any/DT pizza/NN that/WDT have/VB a/DT topping/VBG that/DT is/VBZ spicy/NN ./. <EOS>/<EOS>,spicy pizza := any pizza ^ E have topping . ( spicy topping ) <EOS>,a spicy pizza is any pizza that have a topping that is spicy.,spicy pizza EquivalentTo any pizza and some have topping spicy topping
"a/DT currency/NN is/VBZ a/DT unit/NN of/IN exchange/NN ,/, facilitating/VBG the/DT transfer/NN of/IN goods/NN and/CC service/NN ./. <EOS>/<EOS>",currency := unit of exchange ^ E facilitating . ( transfer of goods ) ^ E facilitating . ( transfer of service ) <EOS>,"a currency is a unit of exchange , facilitating the transfer of goods and service.",currency EquivalentTo unit of exchange and some facilitating transfer of goods and some facilitating transfer of service
a/DT vegetarian/JJ pizza/NN is/VBZ any/DT pizza/NN that/IN only/RB have/VB vegetarian/JJ topping/NN or/CC no/DT topping/NN ./. <EOS>/<EOS>,vegetarian pizza := pizza ^ E have topping . ( vegetarian topping ) U ! E have topping . ( T ) <EOS>,a vegetarian pizza is any pizza that only have vegetarian topping or no topping.,vegetarian pizza EquivalentTo pizza and some have topping vegetarian topping or some have topping
a/DT real/JJ italian/JJ pizza/NN is/VBZ a/DT type/NN of/IN pizza/NN that/WDT must/MD only/RB have/VB thin/JJ and/CC crispy/JJ basis/NN ./. <EOS>/<EOS>,real italian pizza := pizza ^ A have . ( thin basis ^ crispy basis ) <EOS>,a real italian pizza is a type of pizza that must only have thin and crispy basis.,real italian pizza EquivalentTo pizza and some have thin basis and crispy basis
a/DT juvenile/JJ is/VBZ a/DT young/JJ fish/NN or/CC animal/NN that/WDT have/VB not/RB reached/VBN sexual/JJ maturity/NN ./. <EOS>/<EOS>,juvenile := ( young fish U young animal ) ^ ! E have reached . ( sexual maturity ) <EOS>,a juvenile is a young fish or animal that have not reached sexual maturity.,juvenile EquivalentTo young fish or young animal and some have reached sexual maturity
biosphere/NN is/VBZ the/DT portion/NN of/IN earth/NN and/CC its/PRP$ atmosphere/NN that/WDT can/MD support/VB life/NN ./. <EOS>/<EOS>,biosphere := portion of earth ^ portion of its atmosphere ^ >= 0 support . ( life ) <EOS>,biosphere is the portion of earth and its atmosphere that can support life.,biosphere EquivalentTo portion of earth and portion of its atmosphere and 0 support life
a/DT tetraploid/NN is/VBZ cell/NN or/CC organism/NN having/VBG NUM/CD set/NN of/IN chromosome/NN ./. <EOS>/<EOS>,tetraploid := ( cell U organism ) ^ = NUM having chromosome . ( set ) <EOS>,a tetraploid is cell or organism having NUM set of chromosome.,tetraploid EquivalentTo cell or organism and NUM having chromosome set
"sensing/VBG is/VBZ a/DT process/NN that/WDT result/VB in/IN the/DT estimation/NN ,/, or/CC calculation/NN ,/, of/IN the/DT value/NN of/IN a/DT phenomenon/NN ./. <EOS>/<EOS>",sensing := process ^ E result in . ( estimation of value of phenomenon U calculation of value of phenomenon ) <EOS>,"sensing is a process that result in the estimation , or calculation , of the value of a phenomenon.",sensing EquivalentTo process and some result in estimation of value of phenomenon or calculation of value of phenomenon
a/DT island/NN or/CC isle/NN is/VBZ any/DT piece/NN of/IN land/NN that/WDT is/VBZ completely/RB surrounded/VBN by/IN water/NN ./. <EOS>/<EOS>,island U isle := piece of land ^ A surrounded by . ( water ) <EOS>,a island or isle is any piece of land that is completely surrounded by water.,island or isle EquivalentTo piece of land and some surrounded by water
tasty/JJ plant/NN are/VBP plant/NN eaten/VBD both/CC by/IN herbivore/NN and/CC carnivore/NN ./. <EOS>/<EOS>,tasty plant := plant ^ E eaten by . ( herbivore ) ^ E eaten by . ( carnivore ) <EOS>,tasty plant are plant eaten both by herbivore and carnivore.,tasty plant EquivalentTo plant and some eaten by herbivore and some eaten by carnivore
tasty/JJ plant/NN are/VBP eaten/VBN both/CC by/IN herbivore/NN and/CC carnivore/NN ./. <EOS>/<EOS>,tasty plant := plant ^ E eaten by . ( herbivore ) ^ E eaten by . ( carnivore ) <EOS>,tasty plant are eaten both by herbivore and carnivore.,tasty plant EquivalentTo plant and some eaten by herbivore and some eaten by carnivore
"axial/JJ skeleton/NN is/VBZ a/DT skeletal/JJ subdivision/NN of/IN the/DT central/JJ body/NN axis/NN including/VBG the/DT cranium/NN ,/, vertebra/NN ,/, notochord/NN ,/, rib/NN ,/, and/CC sternum/NN ./. <EOS>/<EOS>",axial skeleton := skeletal subdivision of central body axis ^ E including . ( cranium ) ^ E including . ( vertebra ) ^ E including . ( notochord ) ^ E including . ( rib ) ^ E including . ( sternum ) <EOS>,"axial skeleton is a skeletal subdivision of the central body axis including the cranium , vertebra , notochord , rib , and sternum.",axial skeleton EquivalentTo skeletal subdivision of central body axis and some including cranium and some including vertebra and some including notochord and some including rib and some including sternum
carnivorous/JJ plant/NN are/VBP plant/NN that/IN eat/VB animal/NN ./. <EOS>/<EOS>,carnivorous plant := plant ^ E eat . ( animal ) <EOS>,carnivorous plant are plant that eat animal.,carnivorous plant EquivalentTo plant and some eat animal
an/DT endochondral/JJ bone/NN is/VBZ a/DT replacement/NN bone/NN that/WDT form/VB within/IN the/DT cartilage/NN ./. <EOS>/<EOS>,endochondral bone := replacement bone ^ E form within . cartilage <EOS>,an endochondral bone is a replacement bone that form within the cartilage.,endochondral bone EquivalentTo replacement bone and some form within cartilage
the/DT anal/JJ fin/NN skeleton/NN is/VBZ a/DT median/JJ fin/NN skeleton/NN that/WDT is/VBZ located/VBN posterior/RB to/TO the/DT anus/NN ./. <EOS>/<EOS>,anal fin skeleton := median fin skeleton ^ E located posterior to . ( anus ) <EOS>,the anal fin skeleton is a median fin skeleton that is located posterior to the anus.,anal fin skeleton EquivalentTo median fin skeleton and some located posterior to anus
the/DT dorsal/NN fin/NN skeleton/NN is/VBZ a/DT median/JJ fin/NN skeleton/NN located/VBN on/IN the/DT dorsal/JJ surface/NN of/IN the/DT organism/NN ./. <EOS>/<EOS>,dorsal fin skeleton := median fin skeleton ^ E located on . ( dorsal surface of organism ) <EOS>,the dorsal fin skeleton is a median fin skeleton located on the dorsal surface of the organism.,dorsal fin skeleton EquivalentTo median fin skeleton and some located on dorsal surface of organism
the/DT vertebral/JJ element/NN is/VBZ a/DT skeletal/JJ element/NN that/IN form/VB around/IN the/DT notochord/NN and/CC is/VBZ part/NN of/IN the/DT vertebral/JJ column/NN ./. <EOS>/<EOS>,vertebral element := skeletal element ^ E form around . ( notochord ) ^ E part of . ( vertebral column ) <EOS>,the vertebral element is a skeletal element that form around the notochord and is part of the vertebral column.,vertebral element EquivalentTo skeletal element and some form around notochord and some part of vertebral column
the/DT free/JJ limb/NN skeleton/NN is/VBZ a/DT skeletal/JJ subdivision/NN that/WDT is/VBZ part/NN of/IN the/DT limb/NN ./. <EOS>/<EOS>,free limb skeleton := skeletal subdivision ^ E part of . ( limb ) <EOS>,the free limb skeleton is a skeletal subdivision that is part of the limb.,free limb skeleton EquivalentTo skeletal subdivision and some part of limb
the/DT zeugopodial/JJ skeleton/NN is/VBZ the/DT section/NN of/IN the/DT forelimb/NN skeleton/NN located/VBN between/IN the/DT stylopodium/NN and/CC the/DT autopodium/NN ./. <EOS>/<EOS>,zeugopodial skeleton := E section of . ( forelimb skeleton ) ^ E located between . ( stylopodium ^ autopodium ) <EOS>,the zeugopodial skeleton is the section of the forelimb skeleton located between the stylopodium and the autopodium.,zeugopodial skeleton EquivalentTo some section of forelimb skeleton and some located between stylopodium and autopodium
"the/DT autopodial/JJ skeleton/NN is/VBZ the/DT distal/JJ section/NN of/IN the/DT limb/NN skeleton/NN ,/, consisting/VBG of/IN the/DT anterior/JJ autopodium/NN or/CC posterior/JJ autopodium/NN ./. <EOS>/<EOS>",autopodial skeleton := E distal section of . ( limb skeleton ) ^ E consisting of . ( anterior autopodium U posterior autopodium ) <EOS>,"the autopodial skeleton is the distal section of the limb skeleton , consisting of the anterior autopodium or posterior autopodium.",autopodial skeleton EquivalentTo some distal section of limb skeleton and some consisting of anterior autopodium or posterior autopodium
a/DT cheesey/NN pizza/NN is/VBZ any/DT pizza/NN that/WDT have/VB at/IN least/JJS NUM/CD cheese/NN topping/NN ./. <EOS>/<EOS>,cheesey pizza := pizza ^ >= NUM have topping . ( cheese topping ) <EOS>,a cheesey pizza is any pizza that have at least NUM cheese topping.,cheesey pizza EquivalentTo pizza and NUM have topping cheese topping
any/DT pizza/NN that/WDT have/VB at/IN least/JJS NUM/CD cheese/NN topping/NN is/VBZ an/DT cheesey/JJ pizza/NN ./. <EOS>/<EOS>,cheesey pizza := pizza ^ >= NUM have topping . ( cheese topping ) <EOS>,any pizza that have at least NUM cheese topping is an cheesey pizza.,cheesey pizza EquivalentTo pizza and NUM have topping cheese topping
any/DT pizza/NN that/WDT have/VB at/IN least/JJS NUM/CD topping/NN is/VBZ an/DT interesting/JJ pizza/NN ./. <EOS>/<EOS>,interesting pizza := pizza ^ >= NUM have topping . ( T ) <EOS>,any pizza that have at least NUM topping is an interesting pizza.,interesting pizza EquivalentTo pizza and NUM have topping
any/DT pizza/NN that/WDT have/VB at/IN least/JJS NUM/CD meat/NN topping/NN is/VBZ a/DT meaty/JJ pizza/NN ./. <EOS>/<EOS>,meaty pizza := pizza ^ >= NUM have topping . ( meat topping ) <EOS>,any pizza that have at least NUM meat topping is a meaty pizza.,meaty pizza EquivalentTo pizza and NUM have topping meat topping
a/DT named/VBN pizza/NN is/VBZ a/DT pizza/NN that/WDT can/MD be/VB found/VBN on/IN a/DT pizza/NN menu/NN ./. <EOS>/<EOS>,named pizza := pizza ^ E found on . ( pizza menu ) <EOS>,a named pizza is a pizza that can be found on a pizza menu.,named pizza EquivalentTo pizza and some found on pizza menu
the/DT perichordal/JJ tissue/NN is/VBZ derived/VBN from/IN cell/NN surrounding/VBG the/DT notochord/NN ./. <EOS>/<EOS>,perichordal tissue := derived from ( cell ^ E surrounding . ( notochord ) ) <EOS>,the perichordal tissue is derived from cell surrounding the notochord.,perichordal tissue EquivalentTo derived from cell and some surrounding notochord
"the/DT odontoblast/NN is/VBZ a/DT skeletogenic/JJ cell/NN that/WDT secretes/VB dentine/NN matrix/NN ,/, is/VBZ derived/VBN from/IN the/DT odontogenic/JJ papilla/NN ,/, and/CC develop/VB from/IN a/DT preodontoblast/NN cell/NN ./. <EOS>/<EOS>",odontoblast := skeletogenic cell ^ E secretes . ( dentine matrix ) ^ E derived from . ( odontogenic papilla ) ^ E develop from . ( preodontoblast cell ) <EOS>,"the odontoblast is a skeletogenic cell that secretes dentine matrix , is derived from the odontogenic papilla , and develop from a preodontoblast cell.",odontoblast EquivalentTo skeletogenic cell and some secretes dentine matrix and some derived from odontogenic papilla and some develop from preodontoblast cell
the/DT odontoblast/NN is/VBZ a/DT skeletogenic/JJ cell/NN that/WDT secretes/VB dentine/NN matrix/NN ./. <EOS>/<EOS>,odontoblast := skeletogenic cell ^ E secretes . ( dentine matrix ) <EOS>,the odontoblast is a skeletogenic cell that secretes dentine matrix.,odontoblast EquivalentTo skeletogenic cell and some secretes dentine matrix
the/DT odontoblast/NN is/VBZ a/DT skeletogenic/JJ cell/NN that/WDT is/VBZ derived/VBN from/IN the/DT odontogenic/JJ papilla/NN ./. <EOS>/<EOS>,odontoblast := skeletogenic cell ^ E derived from . ( odontogenic papilla ) <EOS>,the odontoblast is a skeletogenic cell that is derived from the odontogenic papilla.,odontoblast EquivalentTo skeletogenic cell and some derived from odontogenic papilla
the/DT odontocyte/NN is/VBZ a/DT skeletogenic/JJ cell/NN that/WDT secretes/VB dentine/NN matrix/NN and/CC is/VBZ derived/VBN from/IN odontogenic/JJ papilla/NN ./. <EOS>/<EOS>,odontocyte := skeletogenic cell ^ E secretes . ( dentine matrix ) ^ E derived from . ( odontogenic papilla ) <EOS>,the odontocyte is a skeletogenic cell that secretes dentine matrix and is derived from odontogenic papilla.,odontocyte EquivalentTo skeletogenic cell and some secretes dentine matrix and some derived from odontogenic papilla
the/DT odontocyte/NN is/VBZ a/DT skeletogenic/JJ cell/NN that/WDT secretes/VB dentine/NN matrix/NN ./. <EOS>/<EOS>,odontocyte := skeletogenic cell ^ E secretes . ( dentine matrix ) <EOS>,the odontocyte is a skeletogenic cell that secretes dentine matrix.,odontocyte EquivalentTo skeletogenic cell and some secretes dentine matrix
the/DT odontocyte/NN is/VBZ a/DT skeletogenic/JJ cell/NN that/WDT is/VBZ derived/VBN from/IN odontogenic/JJ papilla/NN ./. <EOS>/<EOS>,odontocyte := skeletogenic cell ^ E derived from . ( odontogenic papilla ) <EOS>,the odontocyte is a skeletogenic cell that is derived from odontogenic papilla.,odontocyte EquivalentTo skeletogenic cell and some derived from odontogenic papilla
a/DT migratory/JJ neural/JJ crest/NN cell/NN is/VBZ a/DT cell/NN that/WDT is/VBZ derived/VBN from/IN the/DT specialized/JJ ectoderm/NN ./. <EOS>/<EOS>,migratory neural crest cell := cell ^ E derived from . ( specialized ectoderm ) <EOS>,a migratory neural crest cell is a cell that is derived from the specialized ectoderm.,migratory neural crest cell EquivalentTo cell and some derived from specialized ectoderm
a/DT craniofacial/JJ skeleton/NN is/VBZ a/DT cranial/JJ skeleton/NN derived/VBN from/IN neural/JJ crest/NN cell/NN ./. <EOS>/<EOS>,craniofacial skeleton := cranial skeleton ^ E derived from . ( neural crest cell ) <EOS>,a craniofacial skeleton is a cranial skeleton derived from neural crest cell.,craniofacial skeleton EquivalentTo cranial skeleton and some derived from neural crest cell
integumentary/JJ skeleton/NN is/VBZ a/DT skeletal/JJ subdivision/NN that/WDT is/VBZ part/NN of/IN the/DT extra-oral/JJ dermal/JJ skeletal/NN system/NN ./. <EOS>/<EOS>,integumentary skeleton := skeletal subdivision ^ E part of . ( extra-oral dermal skeletal system ) <EOS>,integumentary skeleton is a skeletal subdivision that is part of the extra-oral dermal skeletal system.,integumentary skeleton EquivalentTo skeletal subdivision and some part of extraoral dermal skeletal system
"the/DT postcranial/JJ axial/JJ skeleton/NN is/VBZ a/DT skeletal/JJ subdivision/NN of/IN the/DT central/JJ body/NN axis/VB that/WDT includes/VB vertebra/NN ,/, notochord/NN ,/, rib/NN ,/, and/CC sternum/NN ./. <EOS>/<EOS>",postcranial axial skeleton := skeletal subdivision of central body axis ^ E includes . ( vertebra U notochord U rib U sternum ) <EOS>,"the postcranial axial skeleton is a skeletal subdivision of the central body axis that includes vertebra , notochord , rib , and sternum.",postcranial axial skeleton EquivalentTo skeletal subdivision of central body axis and some includes vertebra or notochord or rib or sternum
